index,title,year,published,district,url
1,Albury 2015,2015,2015-03-28,Albury,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Albury.zip
2,Auburn 2015,2015,2015-03-28,Auburn,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Auburn.zip
3,Ballina 2015,2015,2015-03-28,Ballina,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Ballina.zip
4,Balmain 2015,2015,2015-03-28,Balmain,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Balmain.zip
5,Bankstown 2015,2015,2015-03-28,Bankstown,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Bankstown.zip
6,Barwon 2015,2015,2015-03-28,Barwon,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Barwon.zip
7,Bathurst 2015,2015,2015-03-28,Bathurst,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Bathurst.zip
8,Baulkham Hills 2015,2015,2015-03-28,Baulkham Hills,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Baulkham%20Hills.zip
9,Bega 2015,2015,2015-03-28,Bega,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Bega.zip
10,Blacktown 2015,2015,2015-03-28,Blacktown,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Blacktown.zip
11,Blue Mountains 2015,2015,2015-03-28,Blue Mountains,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Blue%20Mountains.zip
12,Cabramatta 2015,2015,2015-03-28,Cabramatta,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Cabramatta.zip
13,Camden 2015,2015,2015-03-28,Camden,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Camden.zip
14,Campbelltown 2015,2015,2015-03-28,Campbelltown,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Campbelltown.zip
15,Canterbury 2015,2015,2015-03-28,Canterbury,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Canterbury.zip
